Image,dst_type,dst_lev,dmos_std,dmos
coast-cdmc900,coast,2,0.04509249753,0.2466666667
coast-cdmc900,coast,3,0.04582575695,0.64
coast-cdmc900,coast,4,0.02516611478,0.9333333333
coast-cdmc906,coast,1,0.05686240703,0.1033333333
coast-cdmc906,coast,2,0.1137248141,0.2066666667
coast-cdmc906,coast,3,0.195192213,0.55
coast-cdmc906,coast,4,0.1178982612,0.9
coast-cdmc922,coast,1,0.1153256259,0.19
coast-cdmc922,coast,2,0.2165640783,0.55
coast-cdmc922,coast,3,0.0692820323,0.68
coast-cdmc922,coast,4,0.1058300524,0.92
coast-cdmc924,coast,1,0.1569500982,0.1833333333
coast-cdmc924,coast,2,0.1833939294,0.3233333333
coast-cdmc924,coast,3,0.1497776129,0.5966666667
coast-cdmc924,coast,4,0.130128142,0.8066666667
coast-cdmc940,coast,1,0.1686218649,0.2166666667
coast-cdmc940,coast,2,0.2064784089,0.3433333333
coast-cdmc940,coast,3,0.2214347157,0.7033333333
coast-cdmc940,coast,4,0.1594783162,0.8833333333
coast-cdmc969,coast,1,0.09073771726,0.1066666667
coast-cdmc969,coast,2,0.1415391583,0.3166666667
coast-cdmc969,coast,3,0.200333056,0.6766666667
coast-cdmc969,coast,4,0.2179449472,0.85
coast-cdmc977,coast,1,0.03055050463,0.07666666667
coast-cdmc977,coast,2,0.07571877794,0.2266666667
coast-cdmc977,coast,3,0.162583312,0.6833333333
coast-cdmc977,coast,4,0.01527525232,0.9133333333
coast-cdmc988,coast,1,0.01,0.1
coast-cdmc988,coast,2,0.04041451884,0.2266666667
coast-cdmc988,coast,3,0.2137755833,0.45
coast-cdmc988,coast,4,0.2946183973,0.74
coast-cdmc991,coast,1,0.04618802154,0.1233333333
coast-cdmc991,coast,2,0.13,0.25
coast-cdmc991,coast,3,0.2914332399,0.5766666667
coast-cdmc991,coast,4,0.30022214,0.7266666667
coast-cdmc997,coast,1,0.03511884584,0.1333333333
coast-cdmc997,coast,2,0.15011107,0.2566666667
coast-cdmc997,coast,3,0.09848857802,0.73
coast-cdmc997,coast,4,0.04509249753,0.9033333333
coast-land237,coast,1,0.02886751346,0.1333333333
coast-land237,coast,2,0.04358898944,0.23
coast-land237,coast,3,0.1802775638,0.45
coast-land237,coast,4,0.2302896727,0.6533333333
coast-land309,coast,1,0.09848857802,0.23
coast-land309,coast,2,0.1410673598,0.39
coast-land309,coast,3,0.09291573243,0.8366666667
coast-land309,coast,4,0.07637626158,0.9333333333
coast-land374,coast,1,0.07371114796,0.1666666667
coast-land374,coast,2,0.1266227994,0.2666666667
coast-land374,coast,3,0.2318045153,0.6633333333
coast-land374,coast,4,0.09073771726,0.8366666667
coast-land812,coast,1,0.04509249753,0.3066666667
coast-land812,coast,2,0.2052640576,0.4833333333
coast-land812,coast,3,0.12,0.76
coast-land812,coast,4,0.01,0.91
coast-land902,coast,1,0.1250333289,0.2366666667
coast-land902,coast,2,0.219317122,0.36
coast-land902,coast,3,0.300499584,0.53
coast-land902,coast,4,0.3323151115,0.7733333333
coast-n203036,coast,1,0.05131601439,0.2133333333
coast-n203036,coast,2,0.07637626158,0.3333333333
coast-n203036,coast,3,0.1021436896,0.5566666667
coast-n203036,coast,4,0.07094598885,0.8433333333
coast-n203069,coast,1,0.06806859286,0.1533333333
coast-n203069,coast,2,0.09291573243,0.2933333333
coast-n203069,coast,3,0.1417744688,0.44
coast-n203069,coast,4,0.06429100507,0.9266666667
coast-n203071,coast,1,0.06027713773,0.2533333333
coast-n203071,coast,2,0.1350308607,0.2366666667
coast-n203071,coast,3,0.2211334439,0.52
coast-n203071,coast,4,0.2800595175,0.6333333333
coast-n228092,coast,1,0.1307669683,0.19
coast-n228092,coast,2,0.170098011,0.2866666667
coast-n228092,coast,3,0.2103172207,0.5633333333
coast-n228092,coast,4,0.1761628035,0.7233333333
coast-n241020,coast,1,0.05033222957,0.1466666667
coast-n241020,coast,2,0.05,0.25
coast-n241020,coast,3,0.2967041175,0.6266666667
coast-n241020,coast,4,0.2315887159,0.7433333333
coast-n243030,coast,1,0.1652271164,0.2
coast-n243030,coast,2,0.225166605,0.33
coast-n243030,coast,3,0.1985782801,0.5766666667
coast-n243030,coast,4,0.1517673658,0.8366666667
coast-n243063,coast,1,0.0916515139,0.23
coast-n243063,coast,2,0.1637070554,0.32
coast-n243063,coast,3,0.1106044002,0.7366666667
coast-n243063,coast,4,0.05033222957,0.8566666667
coast-n286096,coast,1,0.1509966887,0.23
coast-n286096,coast,2,0.1493318452,0.29
coast-n286096,coast,3,0.00577350269,0.5466666667
coast-n286096,coast,4,0.1514375559,0.7766666667
coast-n295027,coast,1,0.05567764363,0.21
coast-n295027,coast,2,0.1331665624,0.3566666667
coast-n295027,coast,3,0.3010537051,0.6366666667
coast-n295027,coast,4,0.193993127,0.8733333333
coast-n328052,coast,1,0.2042873793,0.2866666667
coast-n328052,coast,2,0.1159022577,0.2566666667
coast-n328052,coast,3,0.2523885893,0.67
coast-n328052,coast,4,0.1159022577,0.7733333333
coast-n672031,coast,1,0.03785938897,0.1333333333
coast-n672031,coast,2,0.09609023537,0.1833333333
coast-n672031,coast,3,0.1153256259,0.39
coast-n672031,coast,4,0.1212435565,0.57
coast-n708004,coast,1,0.08144527815,0.1833333333
coast-n708004,coast,2,0.1106044002,0.3166666667
coast-n708004,coast,3,0.2389560629,0.54
coast-n708004,coast,4,0.2302896727,0.7433333333
coast-n739046,coast,1,0.2494660966,0.2366666667
coast-n739046,coast,2,0.1767295486,0.3966666667
coast-n739046,coast,3,0.207926269,0.6033333333
coast-n739046,coast,4,0.08504900548,0.9166666667
coast-nat1125,coast,1,0.07637626158,0.2266666667
coast-nat1125,coast,2,0.118462371,0.3866666667
coast-nat1125,coast,3,0.2200757445,0.5666666667
coast-nat1125,coast,4,0.2455605832,0.71
coast-nat1146,coast,1,0.1389244399,0.32
coast-nat1146,coast,2,0.2145538006,0.4766666667
coast-nat1146,coast,3,0.2214347157,0.7233333333
coast-nat1146,coast,4,0.06027713773,0.9433333333
coast-nat1175,coast,1,0.04725815626,0.1133333333
coast-nat1175,coast,2,0.02645751311,0.27
coast-nat1175,coast,3,0.04582575695,0.55
coast-nat1175,coast,4,0.06506407099,0.8966666667
coast-nat1177,coast,1,0.1386842938,0.2166666667
coast-nat1177,coast,2,0.1285820101,0.2933333333
coast-nat1177,coast,3,0.130511813,0.5233333333
coast-nat1177,coast,4,0.14571662,0.8666666667
coast-nat172,coast,1,0.08504900548,0.1133333333
coast-nat172,coast,2,0.05507570547,0.1633333333
coast-nat172,coast,3,0.2272296929,0.4866666667
coast-nat172,coast,4,0.1808314132,0.67
coast-nat196,coast,1,0.03,0.12
coast-nat196,coast,2,0.05291502622,0.19
coast-nat196,coast,3,0.09712534856,0.3933333333
coast-nat196,coast,4,0.1365039682,0.7033333333
coast-nat284,coast,1,0,0.08
coast-nat284,coast,2,0.01527525232,0.1666666667
coast-nat284,coast,3,0.2640706976,0.5333333333
coast-nat284,coast,4,0.2369247419,0.8333333333
coast-nat285,coast,1,0.100166528,0.2933333333
coast-nat285,coast,2,0.1792577288,0.3966666667
coast-nat285,coast,3,0.3035347317,0.7066666667
coast-nat285,coast,4,0.2746512941,0.7766666667
coast-nat288,coast,1,0.285365263,0.3066666667
coast-nat288,coast,2,0.3181718613,0.4133333333
coast-nat288,coast,3,0.3350124376,0.6733333333
coast-nat288,coast,4,0.2400694344,0.7966666667
coast-nat566,coast,1,0.2705549852,0.38
coast-nat566,coast,2,0.1021436896,0.3733333333
coast-nat566,coast,3,0.1069267662,0.6233333333
coast-nat566,coast,4,0.1153256259,0.87
coast-nat705,coast,1,0.155241747,0.21
coast-nat705,coast,2,0.1266227994,0.2333333333
coast-nat705,coast,3,0.1609347694,0.67
coast-nat705,coast,4,0.04509249753,0.8966666667
coast-nat707,coast,1,0.1562049935,0.18
coast-nat707,coast,2,0.2542308662,0.2533333333
coast-nat707,coast,3,0.3731398308,0.6666666667
coast-nat707,coast,4,0.4781561809,0.5266666667
coast-nat711,coast,1,0.15011107,0.2533333333
coast-nat711,coast,2,0.1803699901,0.3633333333
coast-nat711,coast,3,0.1553490693,0.5733333333
coast-nat711,coast,4,0.07023769169,0.9166666667
coast-nat850,coast,1,0.09848857802,0.18
coast-nat850,coast,2,0.1721433511,0.3233333333
coast-nat850,coast,3,0.177857621,0.6433333333
coast-nat850,coast,4,0.1539480432,0.87
coast-nat897,coast,1,0.02081665999,0.1833333333
coast-nat897,coast,2,0.02081665999,0.3266666667
coast-nat897,coast,3,0.13,0.63
coast-nat897,coast,4,0.130511813,0.8066666667
coast-nat899,coast,1,0.09643650761,0.21
coast-nat899,coast,2,0.1601041328,0.3566666667
coast-nat899,coast,3,0.1852025918,0.69
coast-nat899,coast,4,0.1530795,0.8766666667
coast-nat901,coast,1,0.02,0.1
coast-nat901,coast,2,0.01154700538,0.2266666667
coast-nat901,coast,3,0.05,0.35
coast-nat901,coast,4,0.06658328118,0.5233333333
coast-nat908,coast,1,0.00577350269,0.1133333333
coast-nat908,coast,2,0.04509249753,0.1966666667
coast-nat908,coast,3,0.140118997,0.3433333333
coast-nat908,coast,4,0.2586503431,0.54
coast-natu468,coast,1,0.05507570547,0.1966666667
coast-natu468,coast,2,0.06244997998,0.37
coast-natu468,coast,3,0.02081665999,0.6933333333
coast-natu468,coast,4,0.05507570547,0.8966666667
coast-natu648,coast,1,0.2490649179,0.3133333333
coast-natu648,coast,2,0.3419551628,0.4166666667
coast-natu648,coast,3,0.2861817604,0.74
coast-natu648,coast,4,0.1212435565,0.93
coast-natu649,coast,1,0.05131601439,0.1466666667
coast-natu649,coast,2,0.09237604307,0.3466666667
coast-natu649,coast,3,0.03605551275,0.69
coast-natu649,coast,4,0.08082903769,0.8433333333
coast-natu666,coast,1,0.3247049943,0.3466666667
coast-natu666,coast,2,0.04725815626,0.2566666667
coast-natu666,coast,3,0.1800925688,0.4633333333
coast-natu666,coast,4,0.1709775814,0.7766666667
coast-natu667,coast,1,0.00577350269,0.06333333333
coast-natu667,coast,2,0.02516611478,0.1866666667
coast-natu667,coast,3,0.1081665383,0.41
coast-natu667,coast,4,0.2433789912,0.7166666667
coast-natu718,coast,1,0.06027713773,0.1466666667
coast-natu718,coast,2,0.11,0.23
coast-natu718,coast,3,0.1289702808,0.6833333333
coast-natu718,coast,4,0.01154700538,0.9433333333
coast-natu776,coast,1,0.01,0.15
coast-natu776,coast,2,0.1137248141,0.3233333333
coast-natu776,coast,3,0.1833939294,0.6066666667
coast-natu776,coast,4,0.1021436896,0.8566666667
coast-natu808,coast,1,0.0916515139,0.18
coast-natu808,coast,2,0.1178982612,0.34
coast-natu808,coast,3,0.1530795,0.5933333333
coast-natu808,coast,4,0.1153256259,0.84
coast-natu813,coast,1,0.15011107,0.3133333333
coast-natu813,coast,2,0.2369247419,0.4533333333
coast-natu813,coast,3,0.05291502622,0.74
coast-natu813,coast,4,0.06658328118,0.8766666667
coast-natu817,coast,1,0.1069267662,0.1833333333
coast-natu817,coast,2,0.01732050808,0.17
coast-natu817,coast,3,0.2345918441,0.5666666667
coast-natu817,coast,4,0.04618802154,0.8833333333
coast-natu819,coast,1,0.05686240703,0.1166666667
coast-natu819,coast,2,0.1135781669,0.34
coast-natu819,coast,3,0.170098011,0.6333333333
coast-natu819,coast,4,0.1738773514,0.8166666667
coast-natu820,coast,1,0.04509249753,0.1966666667
coast-natu820,coast,2,0.03214550254,0.3233333333
coast-natu820,coast,3,0.06658328118,0.8066666667
coast-natu820,coast,4,0.03214550254,0.9466666667
coast-natu826,coast,1,0.1931320792,0.27
coast-natu826,coast,2,0.1789785834,0.4433333333
coast-natu826,coast,3,0.04725815626,0.7666666667
coast-natu826,coast,4,0.05,0.94
coast-open60,coast,1,0.06350852961,0.1133333333
coast-open60,coast,2,0.04041451884,0.2333333333
coast-open60,coast,3,0.1484362939,0.4866666667
coast-open60,coast,4,0.0896288644,0.7966666667
coast-osun51,coast,1,0.3419551628,0.2966666667
coast-osun51,coast,2,0.2042057786,0.36
coast-osun51,coast,3,0.2437895267,0.7266666667
coast-osun51,coast,4,0.1252996409,0.88
coast-sun34,coast,1,0.06506407099,0.1366666667
coast-sun34,coast,2,0.1234233905,0.1833333333
coast-sun34,coast,3,0.3617089069,0.4933333333
coast-sun34,coast,4,0.2946183973,0.64
coast-sun4,coast,1,0.01527525232,0.09666666667
coast-sun4,coast,2,0.05507570547,0.2366666667
coast-sun4,coast,3,0.1154700538,0.5666666667
coast-sun4,coast,4,0.08717797887,0.8
coast-sun7,coast,1,0.03214550254,0.2133333333
coast-sun7,coast,2,0.05131601439,0.4433333333
coast-sun7,coast,3,0.1,0.63
coast-sun7,coast,4,0.06110100927,0.9066666667
coast-sun8,coast,1,0.1014889157,0.24
coast-sun8,coast,2,0.1276714533,0.35
coast-sun8,coast,3,0.1258305739,0.4633333333
coast-sun8,coast,4,0.1761628035,0.6466666667
forest-bost103,forest,1,0.01527525232,0.08666666667
forest-bost103,forest,2,0.08082903769,0.1633333333
forest-bost103,forest,3,0.2540341184,0.4466666667
forest-bost103,forest,4,0.1443375673,0.7666666667
forest-bost98,forest,1,0.09539392014,0.15
forest-bost98,forest,2,0.1931320792,0.32
forest-bost98,forest,3,0.1913983629,0.6433333333
forest-bost98,forest,4,0.1950213664,0.7933333333
forest-cdmc278,forest,1,0.219317122,0.25
forest-cdmc278,forest,2,0.2482606158,0.3133333333
forest-cdmc278,forest,3,0.2605762844,0.47
forest-cdmc278,forest,4,0.3815756806,0.7
forest-cdmc306,forest,1,0.06027713773,0.08666666667
forest-cdmc306,forest,2,0.1320353488,0.2333333333
forest-cdmc306,forest,3,0.1686218649,0.5666666667
forest-cdmc306,forest,4,0.07,0.87
forest-cdmc318,forest,1,0.04041451884,0.07666666667
forest-cdmc318,forest,2,0.04509249753,0.2033333333
forest-cdmc318,forest,3,0.1154700538,0.3333333333
forest-cdmc318,forest,4,0.1509966887,0.84
forest-cdmc333,forest,1,0.09848857802,0.29
forest-cdmc333,forest,2,0.2050203242,0.5066666667
forest-cdmc333,forest,3,0.1594783162,0.7933333333
forest-cdmc333,forest,4,0.02309401077,0.9866666667
forest-cdmc344,forest,1,0.07505553499,0.08666666667
forest-cdmc344,forest,2,0.1452583905,0.25
forest-cdmc344,forest,3,0.2022374842,0.45
forest-cdmc344,forest,4,0.215019379,0.7266666667
forest-cdmc351,forest,1,0.09018499506,0.1933333333
forest-cdmc351,forest,2,0.100166528,0.2933333333
forest-cdmc351,forest,3,0.1101514109,0.6266666667
forest-cdmc351,forest,4,0.07023769169,0.8733333333
forest-cdmc359,forest,1,0.08185352772,0.11
forest-cdmc359,forest,2,0.1276714533,0.22
forest-cdmc359,forest,3,0.2615976554,0.4733333333
forest-cdmc359,forest,4,0.1443375673,0.7766666667
forest-cdmc377,forest,1,0.08717797887,0.1
forest-cdmc377,forest,2,0.1209683154,0.1633333333
forest-cdmc377,forest,3,0.18,0.55
forest-cdmc377,forest,4,0.1205542755,0.6366666667
forest-cdmc414,forest,1,0.105039675,0.1566666667
forest-cdmc414,forest,2,0.09237604307,0.2466666667
forest-cdmc414,forest,3,0.1205542755,0.2866666667
forest-cdmc414,forest,4,0.07211102551,0.89
forest-cdmc415,forest,1,0.06027713773,0.1133333333
forest-cdmc415,forest,2,0.1934769581,0.2066666667
forest-cdmc415,forest,3,0.1955334583,0.4566666667
forest-cdmc415,forest,4,0.2762245463,0.7
forest-cdmc430,forest,1,0.07023769169,0.1933333333
forest-cdmc430,forest,2,0.0608276253,0.37
forest-cdmc430,forest,3,0.02886751346,0.5566666667
forest-cdmc430,forest,4,0.05033222957,0.7466666667
forest-cdmc451,forest,1,0.1800925688,0.2233333333
forest-cdmc451,forest,2,0.14,0.37
forest-cdmc451,forest,3,0.2389560629,0.6
forest-cdmc451,forest,4,0.1357694124,0.8733333333
forest-for110,forest,1,0.1357694124,0.3666666667
forest-for110,forest,2,0.11,0.44
forest-for110,forest,3,0.1212435565,0.74
forest-for110,forest,4,0.03605551275,0.93
forest-for112,forest,1,0.02645751311,0.06
forest-for112,forest,2,0.07810249676,0.2
forest-for112,forest,3,0.1212435565,0.59
forest-for112,forest,4,0.07505553499,0.8933333333
forest-for119,forest,1,0.1096965511,0.1833333333
forest-for119,forest,2,0.05859465277,0.3166666667
forest-for119,forest,3,0.1900876991,0.6166666667
forest-for119,forest,4,0.07211102551,0.92
forest-for130,forest,1,0.02645751311,0.04
forest-for130,forest,2,0.01527525232,0.1333333333
forest-for130,forest,3,0.2179449472,0.5
forest-for130,forest,4,0.1703917056,0.6866666667
forest-for20,forest,1,0.2182506205,0.2733333333
forest-for20,forest,2,0.1096965511,0.2733333333
forest-for20,forest,3,0.2230097158,0.4733333333
forest-for20,forest,4,0.12489996,0.75
forest-for65,forest,1,0.04163331999,0.08666666667
forest-for65,forest,2,0.05033222957,0.1933333333
forest-for65,forest,3,0.2454248018,0.5366666667
forest-for65,forest,4,0.1527525232,0.8166666667
forest-for67,forest,1,0.06658328118,0.1266666667
forest-for67,forest,2,0.06658328118,0.2666666667
forest-for67,forest,3,0.1258305739,0.5433333333
forest-for67,forest,4,0.08185352772,0.74
forest-for77,forest,1,0.04358898944,0.05
forest-for77,forest,2,0.1562049935,0.35
forest-for77,forest,3,0.09609023537,0.6866666667
forest-for77,forest,4,0.07767453465,0.9133333333
forest-for78,forest,1,0.08544003745,0.14
forest-for78,forest,2,0.1965536398,0.3333333333
forest-for78,forest,3,0.2858904219,0.5633333333
forest-for78,forest,4,0.3181718613,0.7666666667
forest-for82,forest,1,0.2608320021,0.2933333333
forest-for82,forest,2,0.2478574859,0.3966666667
forest-for82,forest,3,0.2450170062,0.6533333333
forest-for82,forest,4,0.140118997,0.8566666667
forest-for84,forest,1,0.05033222957,0.1566666667
forest-for84,forest,2,0.1769180601,0.37
forest-for84,forest,3,0.2107921567,0.5366666667
forest-for84,forest,4,0.1059874206,0.8466666667
forest-land376,forest,1,0.4041451884,0.3333333333
forest-land376,forest,2,0.3897435054,0.38
forest-land376,forest,3,0.1868154169,0.68
forest-land376,forest,4,0.01527525232,0.9133333333
forest-land726,forest,1,0.112398102,0.1266666667
forest-land726,forest,2,0.2212088003,0.3633333333
forest-land726,forest,3,0.3459768778,0.64
forest-land726,forest,4,0.3704051835,0.72
forest-land807,forest,1,0.1150362262,0.1933333333
forest-land807,forest,2,0.1171893055,0.2266666667
forest-land807,forest,3,0.2203028219,0.4066666667
forest-land807,forest,4,0.1664331698,0.67
forest-land850,forest,1,0.1,0.1
forest-land850,forest,2,0.1484362939,0.2566666667
forest-land850,forest,3,0.1604161255,0.4766666667
forest-land850,forest,4,0.1331665624,0.7866666667
forest-land854,forest,1,0.01527525232,0.1033333333
forest-land854,forest,2,0.01527525232,0.2433333333
forest-land854,forest,3,0.2095232684,0.46
forest-land854,forest,4,0.06658328118,0.8966666667
forest-land863,forest,1,0.1703917056,0.2133333333
forest-land863,forest,2,0.2490649179,0.3333333333
forest-land863,forest,3,0.3296968304,0.68
forest-land863,forest,4,0.2088061302,0.84
forest-nat1088,forest,1,0.01,0.14
forest-nat1088,forest,2,0.08504900548,0.2933333333
forest-nat1088,forest,3,0.1404753834,0.6666666667
forest-nat1088,forest,4,0.02,0.93
forest-nat1095,forest,1,0.03511884584,0.1566666667
forest-nat1095,forest,2,0.01154700538,0.3133333333
forest-nat1095,forest,3,0.2205296654,0.5433333333
forest-nat1095,forest,4,0.1154700538,0.7333333333
forest-nat1184,forest,1,0.06806859286,0.1266666667
forest-nat1184,forest,2,0.1178982612,0.16
forest-nat1184,forest,3,0.1550268794,0.6266666667
forest-nat1184,forest,4,0.1415391583,0.7233333333
forest-nat1242,forest,1,0.05686240703,0.1533333333
forest-nat1242,forest,2,0.200748599,0.31
forest-nat1242,forest,3,0.1844812547,0.4566666667
forest-nat1242,forest,4,0.207926269,0.5933333333
forest-nat208,forest,1,0.2010804151,0.2066666667
forest-nat208,forest,2,0.14571662,0.1733333333
forest-nat208,forest,3,0.162583312,0.2666666667
forest-nat208,forest,4,0.3407345007,0.45
forest-nat210,forest,1,0.1385640646,0.18
forest-nat210,forest,2,0.2059935274,0.3166666667
forest-nat210,forest,3,0.2163330765,0.64
forest-nat210,forest,4,0.3803068936,0.6566666667
forest-nat266,forest,1,0.06429100507,0.1833333333
forest-nat266,forest,2,0.1252996409,0.26
forest-nat266,forest,3,0.2532455988,0.5766666667
forest-nat266,forest,4,0.16653328,0.7533333333
forest-nat315,forest,1,0.1604161255,0.1533333333
forest-nat315,forest,2,0.09814954576,0.2666666667
forest-nat315,forest,3,0.1021436896,0.5133333333
forest-nat315,forest,4,0.1479864859,0.87
forest-nat325,forest,1,0.07937253933,0.16
forest-nat325,forest,2,0.08888194417,0.2
forest-nat325,forest,3,0.1137248141,0.3233333333
forest-nat325,forest,4,0.1934769581,0.7933333333
forest-nat337,forest,1,0.1201388086,0.2666666667
forest-nat337,forest,2,0.1582192572,0.4366666667
forest-nat337,forest,3,0.1113552873,0.66
forest-nat337,forest,4,0.05291502622,0.94
forest-nat338,forest,1,0.14571662,0.2366666667
forest-nat338,forest,2,0.144222051,0.31
forest-nat338,forest,3,0.1040833,0.5333333333
forest-nat338,forest,4,0.0692820323,0.86
forest-nat347,forest,1,0.2753785274,0.1833333333
forest-nat347,forest,2,0.2663331247,0.2333333333
forest-nat347,forest,3,0.2753785274,0.3166666667
forest-nat347,forest,4,0.3605551275,0.5
forest-nat360,forest,1,0.01527525232,0.08333333333
forest-nat360,forest,2,0.02081665999,0.1533333333
forest-nat360,forest,3,0.1365039682,0.3766666667
forest-nat360,forest,4,0.02309401077,0.8866666667
forest-nat400,forest,1,0.06429100507,0.1666666667
forest-nat400,forest,2,0.0608276253,0.25
forest-nat400,forest,3,0.1126942767,0.6
forest-nat400,forest,4,0.2107921567,0.8433333333
forest-nat417,forest,1,0.08386497084,0.1433333333
forest-nat417,forest,2,0.2836077103,0.3533333333
forest-nat417,forest,3,0.2343074903,0.47
forest-nat417,forest,4,0.1011599394,0.8566666667
forest-nat468,forest,1,0.0896288644,0.1466666667
forest-nat468,forest,2,0.155241747,0.3
forest-nat468,forest,3,0.2214347157,0.5533333333
forest-nat468,forest,4,0.2579405616,0.7766666667
forest-nat619,forest,1,0.06658328118,0.1733333333
forest-nat619,forest,2,0.07371114796,0.2433333333
forest-nat619,forest,3,0.1415391583,0.5633333333
forest-nat619,forest,4,0.01527525232,0.8366666667
forest-nat763,forest,1,0.08185352772,0.12
forest-nat763,forest,2,0.1415391583,0.2366666667
forest-nat763,forest,3,0.04509249753,0.5066666667
forest-nat763,forest,4,0.1101514109,0.8066666667
forest-nat798,forest,1,0.1205542755,0.1466666667
forest-nat798,forest,2,0.19,0.31
forest-nat798,forest,3,0.2281081615,0.2966666667
forest-nat798,forest,4,0.3559494346,0.59
forest-nat835,forest,1,0.02886751346,0.09666666667
forest-nat835,forest,2,0.02516611478,0.1066666667
forest-nat835,forest,3,0.2128379665,0.33
forest-nat835,forest,4,0.2850146195,0.5266666667
forest-nat982,forest,1,0.03214550254,0.1766666667
forest-nat982,forest,2,0.04582575695,0.31
forest-nat982,forest,3,0.01527525232,0.4966666667
forest-nat982,forest,4,0.2010804151,0.7566666667
forest-natc37,forest,1,0.09865765725,0.1866666667
forest-natc37,forest,2,0.1609347694,0.27
forest-natc37,forest,3,0.2386070689,0.6433333333
forest-natc37,forest,4,0.1216552506,0.87
forest-natu15,forest,1,0.1913983629,0.1866666667
forest-natu15,forest,2,0.04163331999,0.1566666667
forest-natu15,forest,3,0.1921804707,0.4333333333
forest-natu15,forest,4,0.2302896727,0.7633333333
forest-natu2,forest,1,0.07211102551,0.12
forest-natu2,forest,2,0.130128142,0.1266666667
forest-natu2,forest,3,0.2688865932,0.36
forest-natu2,forest,4,0.2722131518,0.5
forest-natu325,forest,1,0.1096965511,0.1633333333
forest-natu325,forest,2,0.21,0.35
forest-natu325,forest,3,0.1844812547,0.5466666667
forest-natu325,forest,4,0.09643650761,0.82
forest-natu423,forest,1,0.04358898944,0.13
forest-natu423,forest,2,0.08144527815,0.1866666667
forest-natu423,forest,3,0.1833939294,0.4866666667
forest-natu423,forest,4,0.170098011,0.6933333333
forest-natu443,forest,1,0.04358898944,0.14
forest-natu443,forest,2,0.07767453465,0.2866666667
forest-natu443,forest,3,0.200083316,0.7133333333
forest-natu443,forest,4,0.02886751346,0.9433333333
forest-natu634,forest,1,0.03,0.17
forest-natu634,forest,2,0.04582575695,0.22
forest-natu634,forest,3,0.1250333289,0.3833333333
forest-natu634,forest,4,0.15011107,0.5833333333
forest-natu707,forest,1,0.08082903769,0.2533333333
forest-natu707,forest,2,0.05507570547,0.2966666667
forest-natu707,forest,3,0.1616580754,0.5266666667
forest-natu707,forest,4,0.1646207763,0.7
forest-natu848,forest,1,0.03464101615,0.12
forest-natu848,forest,2,0.07637626158,0.2166666667
forest-natu848,forest,3,0.07937253933,0.43
forest-natu848,forest,4,0.1258305739,0.8166666667
forest-natu860,forest,1,0.1250333289,0.1466666667
forest-natu860,forest,2,0.1513274595,0.22
forest-natu860,forest,3,0.1752141547,0.76
forest-natu860,forest,4,0.02516611478,0.8566666667
forest-natu895,forest,1,0.06557438524,0.21
forest-natu895,forest,2,0.1289702808,0.3633333333
forest-natu895,forest,3,0.2286919325,0.51
forest-natu895,forest,4,0.1985782801,0.7166666667
forest-natu898,forest,1,0.3625373544,0.3833333333
forest-natu898,forest,2,0.3438507428,0.4433333333
forest-natu898,forest,3,0.2665207934,0.5866666667
forest-natu898,forest,4,0.1350308607,0.7966666667
forest-natu934,forest,1,0.1153256259,0.21
